COMMENTS,STARS,English Comments,Roberta Model Polarity,Roberta Model Status,Roberta Result
Oğluma aldım çok beğendi. Yalnız sürat kargo olduğundan mı bilmiyorum tuşun biri maalesef kırıktı,5,"i bought it for my son, he liked it very much. i don't know if it's just speed shipping, unfortunately one of the keys was broken",[0.24476741 0.38287073 0.3723619 ],Cannot Find,False
Mükemmel bir ürün,5,an excellent product,[0.00758845 0.07913814 0.91327345],Positive,True
oglum cok beğendi sağlam ve guzel bir urun tesekkurler,5,my son liked it very much it is a solid and beautiful product thank you,[0.00138037 0.00808161 0.9905379 ],Positive,True
kardesim icin aldım gercekden bu fiyata cok iyi,5,"i bought it for my brother, it's really good for this price",[0.00128948 0.01779672 0.9809139 ],Positive,True
mükemmel ürün,5,excellent product,[0.00528098 0.0393532  0.9553658 ],Positive,True
10 numara bir ürün almanızı tavsiye ederim yanlız eli büyük olanlar için uyumlu değil,4,"i recommend you to buy a size 10 product, it is not suitable for those with large hands.",[0.8481176  0.14318189 0.00870065],Negative,False
Kesinlikle almayın. İndirimden yararlanıp almak istedim param boşa gitti. Klavye çok dandik tuşları resmen dökülüyor.Gece ışıkları açınca tuşları göstermiyor.Saydam yapılmamış.Farenin ışığı kapatma düğmesi yok.Sabahları bile ışıklı şekilde kullanmak zorundasınız.Almayın boşuna,1,"absolutely do not buy. i wanted to take advantage of the discount and my money wasted. the keyboard is very lousy, the keys are officially falling out. when the lights are turned on at night, the keys do not show. it is not transparent. the mouse does not have a light off button. you have to use it with light even in the morning. do not buy it in vain",[0.967955   0.02851779 0.00352707],Negative,True
Güzel ve saglam bir şekilde geldi teşekkürler,5,"arrived well and safe, thank you",[0.00206927 0.03799765 0.95993304],Positive,True
gayet güzel ürün,5,very nice product,[0.00463432 0.03118055 0.964185  ],Positive,True
Bu fiyata hem klavye hem de mouse alabilmek bence gayet uygun. Ürünler çok kaliteli ve güzel geldi bir sorun yaşamadık.,5,"i think it's very reasonable to buy both a keyboard and a mouse for this price. the products are very high quality and beautiful, we did not have any problems.",[0.00252964 0.0181922  0.9792781 ],Positive,True
YANİ İDARE EDER RENKLERİ DEĞİŞMİYOR BİLGİNİZE TEŞEKKÜRLER TRENDYOL,4,so the colors do not change thanks for the information trendyol,[0.02582423 0.40032536 0.5738503 ],Non Negative,True
"Oğlum çok beğendi, gayet güzel, paketleme de çok iyiydi.",5,"my son liked it very much, it is very nice, the packaging was also very good.",[0.00129622 0.00796963 0.9907339 ],Positive,True
çok beğendik oğlum çok rahat kullaniyor tuş lari cikarilip takılıyor ışıkları süper mause de harika ve klavye tuşları oyun oynanırken hiç ses çıkarmıyor çok beğendik tşkler Trendyol,5,"we like it very much, my son uses it very comfortably, the keys are removed and put on, the lights are great on the super mouse and the keyboard keys do not make any noise while playing games, we like it very much, thanks trendyol",[0.0026815  0.01380241 0.98351604],Positive,True
Ürün gayet iyi tavsiye ederim paketlemesi de çok iyi klavye ve mause ihtiyacanız varsa ucıza ışıklı müq bir klavye mause,5,"the product is very good, i recommend it, the packaging is also very good, if you need a keyboard and mouse, a good keyboard and mouse with light for cheap",[0.0015219  0.01129949 0.9871788 ],Positive,True
gayet guzel geldi ozenli bir sekilde paketlenmisti biz memnun kaldik😊,5,"it came very well, it was packed carefully, we are satisfied😊",[0.00171891 0.02029664 0.97798455],Positive,True
"Güzel, ambalajlaması iyi. Oğlum çok beğendi.",5,"nice, good packaging. my son liked it very much.",[0.00164835 0.01384133 0.9845103 ],Positive,True
Oğlum severek kullanıyor cok kaliteli cok begendik gönül rahatlıgıyla alabilirsiniz paketleme ve kargo mükemmel tesekkurler,5,"my son loves using it, very good quality, very liked, you can buy it with peace of mind, packaging and shipping are excellent thank you",[0.00212734 0.00703983 0.9908326 ],Positive,True
Mouse kırık çıktı. Kırığı içinde sallanıyor,1,mouse is broken. swaying in its fracture,[0.7622263  0.224588   0.01318557],Non Positive,True
Komşumun çocuğuna aldık gayet mennun,5,"we bought it for my neighbor's child, very pleased",[0.00138531 0.02120501 0.9774097 ],Positive,True
"sağlam, çalışıyor.",4,"solid, it works.",[0.03384344 0.3813122  0.5848443 ],Non Negative,True
bu fiyata güzel ürün kargoda hızlı bugün geldim kurdum herşeyi güzel çalışıyor tavsiye ederim teşekkürler firma yetkilisi ve Trendyol,5,"nice product at this price, fast shipping, i came today, i installed it, everything works fine, i recommend it, thank you, the company representative and trendyol",[0.00213455 0.01380401 0.98406136],Positive,True
fiyat performans için harika klavye tuş aralığı çok iyi benim için en azından mouse sağ sol tıkı biraz sert geldi ama gayet güzel genel olarak ürün tavsiye ediyorum ayrıca hızlı kargo güzel paketleme içinde çok teşekkür ederim,5,"great for price performance, keyboard key spacing is very good for me at least the right left click of the mouse was a bit hard but it is very good overall i recommend the product also fast shipping in nice packaging thank you very much",[0.0019789  0.00958814 0.9884329 ],Positive,True
👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻,5,👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻,[0.01157448 0.3601725  0.62825316],Non Negative,True
Urun gorundugu gibi geldi. Cocuklarimin oyun oynamasını icin aldim cok begendiler. Kargo olarak aras kargoyla geldi urun hasarsiz kutusuyla geldi. Sadece faturasi yoktu içinde,5,"the product came as it appeared. i bought it for my children to play, they liked it very much. as cargo, aras came with cargo. the product came with its undamaged box. it just didn't have a receipt.",[0.00947543 0.11848248 0.8720421 ],Positive,True
Klavye de ki virgül ve İ harfinin yeri farklı. Ama güzel klavye. Mouse da güzel. indirimdeyken alın derim.,4,the position of the comma and the letter i on the keyboard is different. but nice keyboard. mouse is nice too. i say get it while it's on sale.,[0.00918436 0.10535411 0.8854616 ],Positive,True
kırk galdi,1,forty galdi,[0.13319363 0.72996074 0.13684566],Non Negative,False
Kardeşime aldım çok beğendi bende beğendim,5,"i bought it for my brother, he liked it very much",[0.00144072 0.02620529 0.97235394],Positive,True
Kardeşime aldım ve baya güzel,5,bought for my brother and it's pretty good,[0.00123187 0.0181588  0.98060936],Positive,True
Gayet kullanışlı ve rahat,5,very useful and comfortable,[0.00287239 0.04960453 0.94752324],Positive,True
Güzel efso 👍,5,nice vibe 👍,[0.00296708 0.04909227 0.9479406 ],Positive,True
kardeşime aldim hediye olarak beğendi ışıkları hoş biraz fazla ses çıkarıyor ama değer 🤗,5,"i bought it for my brother, he liked it as a gift, the lights are nice, it makes a little too much noise, but it's worth it 🤗",[0.00235883 0.02051178 0.97712946],Positive,True
aşırı kullanışlı tam bana göre 🤗ben aldığımda kuponla beraber 50 tl ye gelmişti allahtan almışım 😂,5,"extremely useful, just for me 🤗 when i bought it, it came to 50 tl with the coupon, i bought it from god 😂",[0.00271899 0.03556148 0.96171945],Positive,True
ürün Tam istediğim gibi geldi paketlemesi de çok güzeldi teşekkür ederim,5,"the product came exactly as i wanted, the packaging was also very nice, thank you",[0.00157726 0.00930969 0.989113  ],Positive,True
Ürüne ba yıl dım! Mouse sürekli renk değiştiriyor ve inanılmaz hızlı henüz oyunda test etmedim ama klavyenin renkleri de çok hoş. Severek kullanacağım kargo da inanılmaz hızlı geldiiii😍,5,"i loved the product! the mouse is constantly changing colors and is incredibly fast, i haven't tested it in game yet, but the colors of the keyboard are also very nice. i will use it with love and the shipping came incredibly fastiii😍",[0.00184478 0.00624901 0.9919062 ],Positive,True
Güzel ürün Begendım,5,nice product i like it,[0.0038688  0.02303097 0.9731003 ],Positive,True
Ürünü beğendik gayet kullanışlı ve istediğimiz gibi oğlum çok mutlu..,4,"we liked the product, it is very useful and as we wanted, my son is very happy..",[0.00131371 0.01161922 0.987067  ],Positive,True
sadece iyi yorumları yayınlıyorsunuz. Ben hiç beğenmedim,1,you only post good reviews. i never liked,[0.8590403  0.12187999 0.01907968],Negative,True
gayet güzel ve saglam,5,very nice and solid,[0.00247737 0.03600536 0.96151733],Positive,True
Göründüğü gibi rahatlikla alabilirsiniz teşekkürler trendyol 🤗,5,"you can get it easily as it seems, thanks trendyol 🤗",[0.00652407 0.09857415 0.8949018 ],Positive,True
kardeşime almıştım. hafifmiş,3,i bought it for my brother. it was light,[0.01063156 0.48055303 0.50881547],Non Negative,True
9 yasimdaki ogluma aldim severek kullaniyor piyasadanda daha uyguna geldi,5,"i bought it for my 9-year-old son, he uses it fondly, it is more convenient in the market",[0.0026507  0.05020118 0.947148  ],Positive,True
"Sorunsuz, paketleme güzel memnunuz",5,"no problems, good packaging",[0.02266248 0.18159285 0.79574454],Non Negative,True
Sorunsuz elime ulaştı,5,arrived without any problem,[0.03387579 0.5602179  0.40590638],Non Negative,True
Cok cabuk elimize ulasti isiklari ayni resimdeki gibi bu fiyata da cok uygun oglum cok sevdi,5,"it arrived very quickly, the lights are very suitable for this price, just like in the picture, my son loved it",[0.00131729 0.01095873 0.98772395],Positive,True
gerçekten fiyatın hakkını veriyor teşekkürler Trendyol!!!,5,"it really deserves the price, thanks trendyol!!!",[0.00531719 0.04994184 0.94474095],Positive,True
kargo hızlı geldi ama ürün çok kullanışlı değil ürün birebir resimdeki gibi hızlı kargo ve sağlam geldi.,5,"the shipping came fast, but the product is not very useful. the product came exactly as in the picture, fast shipping and solid.",[0.53558534 0.3605716  0.10384297],Non Positive,False
ürün güzel tavsiye ederim bayadır kullanıyorum baya dayandı,5,"the product is good, i recommend it, i've been using it for a while",[0.00167315 0.0119129  0.9864139 ],Positive,True
çok ii bi klavyee,5,very good keyboard,[0.00627159 0.06875585 0.9249725 ],Positive,True
teşekkürler gayet güzel kargolama idi çok beğendim rgb ise bu fiyata göre güzel çalışıyor,5,"thank you, it was very nice shipping, i like it very much, rgb works well for this price",[0.00175857 0.00945592 0.98878545],Positive,True
klavye boyut olarak buyuk ve tus hissiyati guzel parasina gore kesinlikle iyi renkleri de cok hos oglum cok begendi,4,"the keyboard is big in size and the key feel is nice, definitely good for the money, the colors are very nice, my son liked it very much",[0.00123968 0.00971286 0.98904735],Positive,True
Bunu alacağıma a101 den alsaydım keşke..,2,i wish i had bought this from a101 instead..,[0.64359164 0.32210526 0.034303  ],Non Positive,True
Farklı bir marka gönderilmiş gelen kutuda ki görsel ile çıkan farklıydı nımaraların bulınduğu sağ üst köşe kutuda siyah gözüküyor ama kutudan çırkanda o kısım beyaz gözüküyor sanki parça eksikmiş gibi görünüyor ışıkları güzel yanıyor mausun ışıkları sürekli renk değiştiriyor oğlum çok beğendi kullanımı rahat ama farklı marka göndermeleri hiç hoş değil kargo 6günde grldi güzel paketlenmiş,4,"a different brand was sent and the image in the inbox was different. the upper right corner with the numbers looks black in the box, but when you take it out of the box, that part looks white, as if a piece is missing, the lights are on well, the mouse lights are constantly changing color, my son liked it very much, it is comfortable to use, but it is not nice to send different brands. not shipping in 6 days, well packed",[0.17776084 0.3626857  0.45955336],Non Negative,True
çocukların oyun oynaması için çok ideal... memnun kaldık,5,very ideal for children to play... we are satisfied,[0.0076425  0.06000986 0.9323477 ],Positive,True
ürün sağlam şekilde geldi.Ben ps4 için aldım onda da sorunsuz çalışıyor. Fiyatıyla uyumlu güzel.,5,the product arrived intact. i bought it for ps4 and it works without any problems. nice for the price.,[0.00291141 0.02687859 0.9702101 ],Positive,True
ürün sağlam ve hızlı bir şekilde elime ulaştı fiyatıda uygun.,5,"the product arrived safely and quickly, at an affordable price.",[0.00258403 0.09185567 0.9055603 ],Positive,True
Bayıldım performansı çok iyi kullanışlı ve rahat :),5,"i love it, its performance is very good, useful and comfortable :)",[0.00164709 0.00533076 0.99302214],Positive,True
Hizli ve ozenli kargo. Isiklari gayet renkli ve canli. Hasarsiz gayet guzel.,5,fast and discreet shipping. the lights are very colorful and lively. it's pretty undamaged.,[0.00183103 0.03359978 0.9645692 ],Positive,True
Dandik ve kırık geldi.,1,it came dented and broken.,[0.65268314 0.31880146 0.02851548],Non Positive,True
Kırık geldi,1,it came broken,[0.618354   0.35379487 0.0278511 ],Non Positive,True
İyi ürün ışığı çok iyi,5,good product light very good,[0.00384552 0.03418123 0.96197337],Positive,True
COK GUZEL BIR URUN BEN OGLUMA ALDIM ZEVKLE KULLANIYOR EFSANE BIR URUN AMA MAUSU BIRAZ HAFIF SADECE BU AKDAR VE MAUSUN HIZ AYARI YOK SADEC BU KSDA EKALAVYEYE BAYILDIM,5,a very good product i bought for my son. he uses it with enjoyment. it is a legendary product but the mausus is a little lightweight only this is this and the mouse doesn't have speed adjustment i just loved ekalavye in this ks,[0.00296531 0.01398365 0.9830511 ],Positive,True
Ürün hızlı bir şekilde geldi paketleme harika hersey iyi teşekkürler çok memnunuz 👍,5,"the product came quickly, the packaging is great, everything is good, thank you, we are very satisfied 👍",[0.00131635 0.00793238 0.99075145],Positive,True
çok kalite bişey beklemeyin klavye belki ama faresi aşırı dandik gidin rastgele bir telefoncudan 15 TL ye o klasik siyah farelerden alın derim,3,"don't expect a very high quality keyboard, maybe, but the mouse is too crappy, go to a random phone store for 15 tl, i say buy those classic black mice",[0.83347154 0.14652984 0.01999868],Negative,True
5 para etmez bütün yorumlari boşverin sakın almayın paranıza yazık 50gram klavyemi olur perfonmans kalite desen çöp,1,"forget all the comments that are worthless, don't buy, waste of your money, 50gram keyboard, performance, quality, pattern, garbage",[0.9642133  0.03179488 0.00399186],Negative,True
çok iyi tavsiye ederim,5,very well recommend,[0.00792957 0.13106607 0.8610043 ],Positive,True
Güzel ürün,5,good product,[0.01123988 0.10153642 0.8872238 ],Positive,True
Sağlam ve sorunsuz geldi. Klavye biraz hafif ama güzel kullanışlı. Teşekkürler.,5,it arrived intact and intact. the keyboard is a little light but very useful. thanks.,[0.00255499 0.04107763 0.95636743],Positive,True
Çok beğendim rahat ve güzel,5,i like it very comfortable and beautiful,[0.00186524 0.01470168 0.983433  ],Positive,True
guzel halakullaniyorum,5,i'm still using it,[0.03186449 0.6345899  0.3335456 ],Non Negative,True
Ürünün hem fiyatı. hemde kalitesi cok iyi paketleme cok iyi ve kargo çok hızlı teşekkürler aras kargo,4,"the price of the product. also, the quality is very good, the packaging is very good and the shipping is very fast, thank you aras cargo",[0.00179441 0.01177591 0.9864297 ],Positive,True
ofis için aldım. yeteli biizm için.,5,i bought it for the office. enough for us.,[0.03156135 0.54160815 0.42683044],Non Negative,True
yigenlerim almıştı çok beğendiler hafif bir ürün ama güzel fiyatına göre iyi,5,"my brothers bought it, they liked it very much, it's a light product, but it's good for its price",[0.00164396 0.02449534 0.9738606 ],Positive,True
muhteşem ötesi 2ci aldik ogluma,5,we bought 2nd place to my son,[0.03329085 0.82352746 0.1431817 ],Neutral,False
